gen_1_0;gen_2_1;gen_5_2;gen_5_3;gen_7_4;gen_0_5
80.7;79.0;12.3;0.0;0.0;79.0
80.8;79.1;12.3;0.0;0.0;79.1
80.8;79.1;12.2;0.0;0.0;79.1
80.7;79.0;12.2;0.0;0.0;79.0
80.6;78.9;12.1;0.0;0.0;78.9
80.3;78.6;12.0;0.0;0.0;78.6
80.0;78.3;11.9;0.0;0.0;78.3
79.5;77.9;11.8;0.0;0.0;77.9
79.1;77.4;11.7;0.0;0.0;77.4
78.6;76.9;11.6;0.0;0.0;76.9
78.1;76.4;11.5;0.0;0.0;76.4
77.6;76.0;11.4;0.0;0.0;76.0
77.3;75.6;11.2;0.0;0.0;75.6
77.0;75.3;11.1;0.0;0.0;75.3
76.8;75.2;11.0;0.0;0.0;75.2
76.8;75.2;10.9;0.0;0.0;75.2
76.8;75.2;10.8;0.0;0.0;75.2
76.9;75.3;10.6;0.0;0.0;75.3
77.0;75.4;10.5;0.0;0.0;75.4
77.1;75.4;10.4;0.0;0.0;75.4
77.1;75.4;10.3;0.0;0.0;75.4
77.0;75.4;10.2;0.0;0.0;75.4
76.9;75.3;10.2;0.0;0.0;75.3
76.9;75.2;10.1;0.0;0.0;75.2
76.8;75.1;10.1;0.0;0.0;75.1
76.7;75.1;10.0;0.0;0.0;75.1
76.7;75.1;10.0;0.0;0.0;75.1
76.7;75.1;10.0;0.0;0.0;75.1
76.7;75.1;10.0;0.0;0.0;75.1
76.6;75.0;10.0;0.0;0.0;75.0
76.5;74.9;10.0;0.0;0.0;74.9
76.3;74.7;10.0;0.0;0.0;74.7
76.0;74.4;10.1;0.0;0.0;74.4
75.6;74.0;10.1;0.0;0.0;74.0
75.2;73.6;10.1;0.0;0.0;73.6
74.7;73.1;10.2;0.0;0.0;73.1
74.3;72.7;10.2;0.0;0.0;72.7
73.9;72.3;10.2;0.0;0.0;72.3
73.5;72.0;10.3;0.0;0.0;72.0
73.3;71.7;10.4;0.0;0.0;71.7
73.1;71.5;10.5;0.0;0.0;71.5
72.8;71.3;10.5;0.0;0.0;71.3
72.6;71.1;10.6;0.0;0.0;71.1
72.4;70.9;10.6;0.0;0.0;70.9
72.1;70.6;10.8;0.0;0.0;70.6
71.9;70.3;10.8;0.0;0.0;70.3
71.6;70.1;10.9;0.0;0.0;70.1
71.3;69.8;11.0;0.0;0.0;69.8
71.0;69.5;11.1;0.0;0.0;69.5
70.9;69.4;11.1;0.0;0.0;69.4
70.7;69.2;11.2;0.0;0.0;69.2
70.6;69.1;11.3;0.0;0.0;69.1
70.6;69.1;11.3;0.0;0.0;69.1
70.6;69.1;11.4;0.0;0.0;69.1
70.6;69.1;11.4;0.0;0.0;69.1
70.5;69.0;11.5;0.0;0.0;69.0
70.5;69.0;11.5;0.0;0.0;69.0
